期号,开奖号码
4001,928
4002,173
4003,183
4004,432
4005,541
4006,262
4007,307
4008,226
4009,418
4010,274
4011,364
4012,305
4013,032
4014,359
4015,598
4016,445
4017,193
4018,129
4019,711
4020,109
4021,393
4022,591
4023,871
4024,886
4025,618
4026,621
4027,363
4028,075
4029,256
4030,120
4031,362
4032,378
4033,505
4034,995
4035,374
4036,009
4037,325
4038,425
4039,802
4040,566
4041,814
4042,780
4043,704
4044,382
5001,054
5002,366
5003,431
5004,674
5005,299
5006,420
5007,435
5008,281
5009,869
5010,416
5011,204
5012,196
5013,613
5014,085
5015,367
5016,665
5017,157
5018,055
5019,574
5020,922
5021,001
5022,938
5023,080
5024,312
5025,755
5026,277
5027,014
5028,862
5029,628
5030,459
5031,504
5032,361
5033,590
5034,186
5035,830
5036,942
5037,708
5038,319
5039,028
5040,047
5041,133
5042,234
5043,845
5044,955
5045,400
5046,545
5047,429
5048,761
5049,790
5050,104
5051,247
5052,306
5053,175
5054,519
5055,014
5056,600
5057,813
5058,353
5059,983
5060,960
5061,912
5062,796
5063,181
5064,969
5065,895
5066,626
5067,169
5068,903
5069,743
5070,984
5071,917
5072,256
5073,232
5074,006
5075,700
5076,418
5077,648
5078,842
5079,959
5080,495
5081,250
5082,216
5083,702
5084,277
5085,942
5086,635
5087,155
5088,144
5089,091
5090,065
5091,102
5092,299
5093,861
5094,112
5095,061
5096,935
5097,085
5098,670
5099,695
5100,127
5101,320
5102,431
5103,873
5104,681
5105,363
5106,540
5107,838
5108,384
5109,610
5110,417
5111,061
5112,298
5113,005
5114,892
5115,626
5116,569
5117,992
5118,593
5119,111
5120,162
5121,729
5122,542
5123,974
5124,219
5125,508
5126,534
5127,445
5128,162
5129,707
5130,546
5131,663
5132,836
5133,759
5134,704
5135,745
5136,928
5137,253
5138,014
5139,462
5140,894
5141,168
5142,306
5143,207
5144,574
5145,057
5146,109
5147,121
5148,979
5149,899
5150,524
5151,990
5152,927
5153,866
5154,776
5155,024
5156,119
5157,598
5158,876
5159,107
5160,726
5161,221
5162,967
5163,645
5164,001
5165,398
5166,736
5167,711
5168,907
5169,263
5170,195
5171,165
5172,997
5173,207
5174,876
5175,933
5176,937
5177,705
5178,004
5179,043
5180,395
5181,402
5182,469
5183,173
5184,884
5185,439
5186,202
5187,913
5188,629
5189,403
5190,426
5191,506
5192,624
5193,999
5194,494
5195,526
5196,005
5197,788
5198,749
5199,794
5200,998
5201,045
5202,330
5203,819
5204,506
5205,875
5206,958
5207,867
5208,540
5209,316
5210,543
5211,534
5212,780
5213,962
5214,169
5215,236
5216,856
5217,555
5218,724
5219,216
5220,802
5221,870
5222,895
5223,539
5224,567
5225,309
5226,293
5227,264
5228,725
5229,813
5230,784
5231,077
5232,749
5233,934
5234,122
5235,856
5236,537
5237,600
5238,463
5239,346
5240,517
5241,832
5242,289
5243,949
5244,894
5245,827
5246,597
5247,310
5248,481
5249,521
5250,037
5251,818
5252,085
5253,442
5254,302
5255,959
5256,539
5257,026
5258,976
5259,971
5260,489
5261,614
5262,240
5263,846
5264,807
5265,696
5266,107
5267,584
5268,855
5269,327
5270,909
5271,566
5272,981
5273,726
5274,526
5275,470
5276,862
5277,075
5278,692
5279,254
5280,899
5281,576
5282,549
5283,184
5284,380
5285,654
5286,853
5287,787
5288,487
5289,304
5290,803
5291,371
5292,436
5293,040
5294,820
5295,893
5296,716
5297,319
5298,608
5299,756
5300,966
5301,635
5302,747
5303,576
5304,863
5305,578
5306,390
5307,968
5308,129
5309,524
5310,015
5311,450
5312,756
5313,728
5314,860
5315,670
5316,741
5317,846
5318,069
5319,824
5320,084
5321,805
5322,274
5323,339
5324,578
5325,472
5326,508
5327,735
5328,463
5329,117
5330,149
5331,790
5332,187
5333,341
5334,672
5335,781
5336,693
5337,461
5338,236
5339,440
5340,678
5341,302
5342,385
5343,876
5344,949
5345,786
5346,292
5347,172
5348,323
5349,492
5350,237
5351,239
5352,562
5353,095
5354,014
5355,012
5356,439
5357,415
5358,397
6001,184
6002,299
6003,012
6004,940
6005,185
6006,598
6007,561
6008,489
6009,803
6010,538
6011,755
6012,652
6013,777
6014,678
6015,446
6016,519
6017,925
6018,916
6019,199
6020,710
6021,438
6022,164
6023,215
6024,163
6025,707
6026,998
6027,404
6028,547
6029,706
6030,086
6031,675
6032,699
6033,549
6034,465
6035,647
6036,154
6037,236
6038,374
6039,587
6040,876
6041,853
6042,028
6043,445
6044,026
6045,187
6046,568
6047,694
6048,564
6049,489
6050,874
6051,873
6052,501
6053,698
6054,909
6055,140
6056,898
6057,791
6058,600
6059,990
6060,062
6061,224
6062,761
6063,458
6064,983
6065,921
6066,967
6067,149
6068,003
6069,082
6070,415
6071,202
6072,420
6073,203
6074,292
6075,844
6076,224
6077,201
6078,286
6079,714
6080,544
6081,434
6082,671
6083,972
6084,276
6085,495
6086,162
6087,947
6088,642
6089,492
6090,877
6091,533
6092,444
6093,824
6094,010
6095,304
6096,275
6097,938
6098,660
6099,826
6100,451
6101,430
6102,260
6103,223
6104,616
6105,519
6106,533
6107,190
6108,696
6109,308
6110,437
6111,218
6112,499
6113,601
6114,997
6115,259
6116,332
6117,999
6118,890
6119,900
6120,332
6121,575
6122,520
6123,249
6124,261
6125,315
6126,238
6127,103
6128,640
6129,929
6130,808
6131,165
6132,093
6133,989
6134,073
6135,745
6136,391
6137,733
6138,087
6139,172
6140,830
6141,974
6142,266
6143,104
6144,151
6145,588
6146,834
6147,733
6148,760
6149,019
6150,049
6151,181
6152,814
6153,950
6154,948
6155,759
6156,678
6157,038
6158,623
6159,539
6160,986
6161,976
6162,242
6163,994
6164,534
6165,397
6166,373
6167,964
6168,211
6169,794
6170,305
6171,246
6172,687
6173,019
6174,454
6175,001
6176,772
6177,945
6178,465
6179,499
6180,593
6181,959
6182,217
6183,465
6184,340
6185,700
6186,469
6187,713
6188,995
6189,334
6190,419
6191,293
6192,300
6193,748
6194,116
6195,918
6196,848
6197,949
6198,165
6199,029
6200,928
6201,724
6202,891
6203,451
6204,872
6205,481
6206,471
6207,937
6208,368
6209,562
6210,257
6211,552
6212,934
6213,421
6214,340
6215,527
6216,836
6217,353
6218,721
6219,554
6220,546
6221,751
6222,255
6223,760
6224,708
6225,893
6226,608
6227,633
6228,612
6229,266
6230,267
6231,068
6232,162
6233,714
6234,457
6235,732
6236,169
6237,793
6238,166
6239,536
6240,228
6241,432
6242,789
6243,498
6244,222
6245,080
6246,989
6247,528
6248,895
6249,166
6250,959
6251,656
6252,115
6253,978
6254,293
6255,479
6256,998
6257,508
6258,860
6259,628
6260,659
6261,735
6262,917
6263,886
6264,656
6265,228
6266,272
6267,265
6268,638
6269,010
6270,317
6271,944
6272,517
6273,373
6274,908
6275,772
6276,110
6277,907
6278,216
6279,951
6280,808
6281,263
6282,433
6283,023
6284,279
6285,857
6286,564
6287,447
6288,145
6289,781
6290,208
6291,439
6292,338
6293,060
6294,437
6295,331
6296,609
6297,600
6298,972
6299,956
6300,214
6301,199
6302,635
6303,772
6304,991
6305,259
6306,661
6307,278
6308,871
6309,834
6310,999
6311,305
6312,310
6313,830
6314,724
6315,041
6316,133
6317,845
6318,619
6319,655
6320,349
6321,468
6322,664
6323,736
6324,815
6325,143
6326,977
6327,375
6328,169
6329,896
6330,774
6331,090
6332,020
6333,767
6334,893
6335,659
6336,456
6337,126
6338,940
6339,063
6340,531
6341,664
6342,746
6343,183
6344,712
6345,030
6346,566
6347,184
6348,114
6349,735
6350,698
6351,117
6352,691
6353,513
6354,334
6355,914
6356,678
6357,584
7001,038
7002,060
7003,839
7004,163
7005,091
7006,835
7007,541
7008,416
7009,292
7010,453
7011,261
7012,405
7013,252
7014,047
7015,977
7016,878
7017,485
7018,204
7019,219
7020,151
7021,757
7022,896
7023,716
7024,955
7025,319
7026,260
7027,349
7028,119
7029,399
7030,281
7031,704
7032,961
7033,875
7034,494
7035,764
7036,032
7037,507
7038,203
7039,025
7040,948
7041,335
7042,199
7043,947
7044,988
7045,000
7046,564
7047,377
7048,572
7049,760
7050,163
7051,265
7052,733
7053,802
7054,847
7055,017
7056,278
7057,955
7058,887
7059,528
7060,368
7061,787
7062,327
7063,365
7064,330
7065,268
7066,683
7067,499
7068,103
7069,531
7070,441
7071,984
7072,010
7073,564
7074,906
7075,515
7076,316
7077,761
7078,737
7079,195
7080,856
7081,491
7082,044
7083,903
7084,020
7085,878
7086,028
7087,738
7088,894
7089,577
7090,624
7091,170
7092,417
7093,971
7094,051
7095,937
7096,967
7097,532
7098,679
7099,405
