期号,开奖号码
4001,92882
4002,17387
4003,18328
4004,43248
4005,54159
4006,26225
4007,30745
4008,22699
4009,41809
4010,27464
4011,36416
4012,30564
4013,03232
4014,35919
4015,59872
4016,44517
4017,19318
4018,12998
4019,71140
4020,10931
4021,39386
4022,59190
4023,87197
4024,88679
4025,61868
4026,62173
4027,36339
4028,07519
4029,25615
4030,12060
4031,36210
4032,37870
4033,50502
4034,99528
4035,37480
4036,00904
4037,32595
4038,42533
4039,80212
4040,56641
4041,81405
4042,78024
4043,70432
4044,38212
5001,05497
5002,36614
5003,43132
5004,67476
5005,29955
5006,42059
5007,43516
5008,28126
5009,86980
5010,41671
5011,20455
5012,19662
5013,61326
5014,08542
5015,36747
5016,66573
5017,15749
5018,05596
5019,57479
5020,92243
5021,00148
5022,93824
5023,08025
5024,31254
5025,75594
5026,27716
5027,01442
5028,86202
5029,62873
5030,45924
5031,50405
5032,36186
5033,59091
5034,18635
5035,83020
5036,94236
5037,70841
5038,31966
5039,02883
5040,04798
5041,13382
5042,23419
5043,84580
5044,95593
5045,40069
5046,54533
5047,42911
5048,76107
5049,79091
5050,10417
5051,24763
5052,30683
5053,17538
5054,51906
5055,01449
5056,60028
5057,81324
5058,35342
5059,98361
5060,96062
5061,91224
5062,79666
5063,18163
5064,96954
5065,89522
5066,62677
5067,16918
5068,90366
5069,74310
5070,98436
5071,91701
5072,25691
5073,23296
5074,00611
5075,70053
5076,41871
5077,64884
5078,84271
5079,95923
5080,49519
5081,25059
5082,21667
5083,70254
5084,27728
5085,94234
5086,63594
5087,15589
5088,14415
5089,09190
5090,06565
5091,10246
5092,29943
5093,86161
5094,11218
5095,06141
5096,93512
5097,08563
5098,67005
5099,69567
5100,12709
5101,32048
5102,43120
5103,87339
5104,68173
5105,36325
5106,54052
5107,83831
5108,38411
5109,61069
5110,41745
5111,06156
5112,29822
5113,00508
5114,89207
5115,62606
5116,56973
5117,99280
5118,59325
5119,11113
5120,16235
5121,72994
5122,54292
5123,97482
5124,21929
5125,50844
5126,53463
5127,44525
5128,16289
5129,70743
5130,54659
5131,66351
5132,83653
5133,75901
5134,70419
5135,74509
5136,92826
5137,25338
5138,01456
5139,46206
5140,89422
5141,16804
5142,30632
5143,20714
5144,57436
5145,05729
5146,10935
5147,12122
5148,97967
5149,89972
5150,52435
5151,99089
5152,92793
5153,86643
5154,77696
5155,02425
5156,11945
5157,59845
5158,87677
5159,10791
5160,72626
5161,22130
5162,96718
5163,64542
5164,00135
5165,39817
5166,73689
5167,71167
5168,90786
5169,26349
5170,19542
5171,16510
5172,99763
5173,20700
5174,87627
5175,93307
5176,93742
5177,70521
5178,00440
5179,04355
5180,39540
5181,40250
5182,46938
5183,17318
5184,88443
5185,43942
5186,20215
5187,91300
5188,62905
5189,40305
5190,42611
5191,50611
5192,62496
5193,99998
5194,49434
5195,52677
5196,00561
5197,78884
5198,74967
5199,79411
5200,99888
5201,04534
5202,33085
5203,81939
5204,50661
5205,87525
5206,95826
5207,86777
5208,54028
5209,31664
5210,54360
5211,53421
5212,78033
5213,96200
5214,16913
5215,23653
5216,85629
5217,55543
5218,72497
5219,21697
5220,80277
5221,87030
5222,89567
5223,53927
5224,56713
5225,30992
5226,29305
5227,26441
5228,72549
5229,81350
5230,78493
5231,07710
5232,74944
5233,93493
5234,12299
5235,85630
5236,53774
5237,60034
5238,46356
5239,34695
5240,51744
5241,83277
5242,28929
5243,94947
5244,89432
5245,82702
5246,59719
5247,31094
5248,48193
5249,52173
5250,03723
5251,81815
5252,08550
5253,44232
5254,30206
5255,95909
5256,53915
5257,02674
5258,97637
5259,97187
5260,48922
5261,61464
5262,24080
5263,84617
5264,80751
5265,69692
5266,10750
5267,58457
5268,85534
5269,32743
5270,90902
5271,56648
5272,98105
5273,72683
5274,52691
5275,47030
5276,86291
5277,07509
5278,69243
5279,25407
5280,89988
5281,57633
5282,54904
5283,18422
5284,38084
5285,65483
5286,85326
5287,78748
5288,48754
5289,30482
5290,80308
5291,37121
5292,43619
5293,04031
5294,82074
5295,89328
5296,71690
5297,31919
5298,60893
5299,75618
5300,96668
5301,63547
5302,74768
5303,57678
5304,86320
5305,57883
5306,39054
5307,96868
5308,12983
5309,52468
5310,01515
5311,45063
5312,75684
5313,72823
5314,86079
5315,67057
5316,74180
5317,84644
5318,06944
5319,82404
5320,08441
5321,80536
5322,27424
5323,33957
5324,57888
5325,47232
5326,50877
5327,73518
5328,46395
5329,11754
5330,14970
5331,79015
5332,18751
5333,34103
5334,67244
5335,78191
5336,69381
5337,46184
5338,23656
5339,44046
5340,67858
5341,30246
5342,38516
5343,87692
5344,94999
5345,78666
5346,29252
5347,17249
5348,32328
5349,49235
5350,23763
5351,23925
5352,56295
5353,09524
5354,01499
5355,01245
5356,43946
5357,41515
5358,39760
6001,18449
6002,29907
6003,01208
6004,94024
6005,18560
6006,59823
6007,56163
6008,48930
6009,80304
6010,53812
6011,75511
6012,65261
6013,77704
6014,67834
6015,44603
6016,51915
6017,92548
6018,91689
6019,19937
6020,71095
6021,43810
6022,16452
6023,21570
6024,16365
6025,70785
6026,99893
6027,40435
6028,54706
6029,70619
6030,08655
6031,67514
6032,69926
6033,54961
6034,46548
6035,64781
6036,15445
6037,23650
6038,37435
6039,58792
6040,87695
6041,85326
6042,02812
6043,44545
6044,02603
6045,18782
6046,56874
6047,69420
6048,56487
6049,48990
6050,87446
6051,87396
6052,50136
6053,69871
6054,90975
6055,14095
6056,89891
6057,79121
6058,60038
6059,99038
6060,06261
6061,22429
6062,76100
6063,45885
6064,98327
6065,92154
6066,96712
6067,14925
6068,00346
6069,08259
6070,41538
6071,20278
6072,42075
6073,20396
6074,29243
6075,84424
6076,22466
6077,20150
6078,28682
6079,71443
6080,54425
6081,43430
6082,67129
6083,97298
6084,27693
6085,49598
6086,16289
6087,94750
6088,64241
6089,49213
6090,87767
6091,53330
6092,44462
6093,82474
6094,01097
6095,30436
6096,27509
6097,93829
6098,66013
6099,82650
6100,45188
6101,43009
6102,26012
6103,22389
6104,61684
6105,51998
6106,53399
6107,19048
6108,69690
6109,30872
6110,43719
6111,21816
6112,49933
6113,60146
6114,99784
6115,25945
6116,33262
6117,99934
6118,89029
6119,90079
6120,33228
6121,57511
6122,52080
6123,24914
6124,26172
6125,31516
6126,23894
6127,10349
6128,64003
6129,92941
6130,80807
6131,16526
6132,09382
6133,98971
6134,07335
6135,74550
6136,39101
6137,73377
6138,08703
6139,17206
6140,83023
6141,97467
6142,26629
6143,10423
6144,15151
6145,58871
6146,83438
6147,73363
6148,76018
6149,01928
6150,04955
6151,18177
6152,81456
6153,95093
6154,94875
6155,75922
6156,67829
6157,03844
6158,62325
6159,53929
6160,98685
6161,97689
6162,24273
6163,99470
6164,53488
6165,39710
6166,37362
6167,96410
6168,21177
6169,79439
6170,30563
6171,24697
6172,68766
6173,01937
6174,45445
6175,00159
6176,77240
6177,94585
6178,46592
6179,49901
6180,59367
6181,95904
6182,21704
6183,46557
6184,34012
6185,70068
6186,46959
6187,71374
6188,99501
6189,33468
6190,41942
6191,29395
6192,30078
6193,74838
6194,11692
6195,91865
6196,84853
6197,94983
6198,16555
6199,02905
6200,92865
6201,72491
6202,89182
6203,45195
6204,87204
6205,48104
6206,47113
6207,93749
6208,36834
6209,56249
6210,25733
6211,55265
6212,93488
6213,42161
6214,34032
6215,52754
6216,83618
6217,35320
6218,72150
6219,55437
6220,54642
6221,75163
6222,25592
6223,76013
6224,70857
6225,89301
6226,60862
6227,63396
6228,61227
6229,26655
6230,26740
6231,06843
6232,16262
6233,71447
6234,45785
6235,73222
6236,16922
6237,79383
