期号,数字,触发极冷位置,触发位置遗漏,其他位置1,位置1遗漏,其他位置2,位置2遗漏,是否全局极冷
5019,0,百位,56,十位,5,个位,10,是
5020,0,百位,57,十位,6,个位,11,是
5022,0,百位,58,十位,7,个位,12,是
5024,0,百位,59,十位,8,个位,13,是
5025,0,百位,60,十位,9,个位,14,是
5026,0,百位,61,十位,10,个位,15,是
5028,0,百位,62,十位,11,个位,16,是
5029,0,百位,63,十位,12,个位,17,是
5030,0,百位,64,十位,13,个位,18,是
5031,0,百位,65,十位,14,个位,19,是
5032,0,百位,66,十位,0,个位,20,否
5033,0,百位,67,十位,1,个位,21,是
5034,0,百位,68,十位,2,个位,0,否
5035,0,百位,69,十位,3,个位,1,是
5036,0,百位,70,十位,4,个位,0,否
5037,0,百位,71,十位,5,个位,1,是
5038,0,百位,72,十位,0,个位,2,否
5041,0,百位,73,十位,1,个位,3,是
5042,0,百位,74,十位,2,个位,4,是
5043,0,百位,75,十位,3,个位,5,是
5044,0,百位,76,十位,4,个位,6,是
5045,0,百位,77,十位,5,个位,7,是
5046,0,百位,78,十位,0,个位,0,否
5047,0,百位,79,十位,1,个位,1,是
5048,0,百位,80,十位,2,个位,2,是
5049,0,百位,81,十位,3,个位,3,是
5050,0,百位,82,十位,4,个位,0,否
5051,0,百位,83,十位,0,个位,1,否
5052,0,百位,84,十位,1,个位,2,是
5053,0,百位,85,十位,0,个位,3,否
5054,0,百位,86,十位,1,个位,4,是
5056,0,百位,87,十位,2,个位,5,是
5057,0,百位,88,十位,0,个位,0,否
5058,0,百位,89,十位,1,个位,1,是
5059,0,百位,90,十位,2,个位,2,是
5060,0,百位,91,十位,3,个位,3,是
5061,0,百位,92,十位,4,个位,0,否
5062,0,百位,93,十位,5,个位,1,是
5063,0,百位,94,十位,6,个位,2,是
5064,0,百位,95,十位,7,个位,3,是
5065,0,百位,96,十位,8,个位,4,是
5066,0,百位,97,十位,9,个位,5,是
5067,0,百位,98,十位,10,个位,6,是
5068,0,百位,99,十位,11,个位,7,是
5069,0,百位,100,十位,0,个位,8,否
5070,0,百位,101,十位,1,个位,9,是
5071,0,百位,102,十位,2,个位,10,是
5072,0,百位,103,十位,3,个位,11,是
5073,0,百位,104,十位,4,个位,12,是
5075,0,百位,105,十位,5,个位,13,是
5076,0,百位,106,十位,0,个位,0,否
5077,0,百位,107,十位,1,个位,1,是
5078,0,百位,108,十位,2,个位,2,是
5079,0,百位,109,十位,3,个位,3,是
5080,0,百位,110,十位,4,个位,4,是
5081,0,百位,111,十位,5,个位,5,是
5082,0,百位,112,十位,6,个位,0,否
5083,0,百位,113,十位,7,个位,1,是
5084,0,百位,114,十位,0,个位,2,否
5085,0,百位,115,十位,1,个位,3,是
5086,0,百位,116,十位,2,个位,4,是
5087,0,百位,117,十位,3,个位,5,是
5088,0,百位,118,十位,4,个位,6,是
5091,0,百位,119,十位,5,个位,7,是
5092,0,百位,120,十位,0,个位,8,否
5093,0,百位,121,十位,1,个位,9,是
5094,0,百位,122,十位,2,个位,10,是
5096,0,百位,123,十位,3,个位,11,是
5098,0,百位,124,十位,4,个位,12,是
5099,0,百位,125,十位,5,个位,0,否
5100,0,百位,126,十位,6,个位,1,是
5101,0,百位,127,十位,7,个位,2,是
5102,0,百位,128,十位,8,个位,0,否
5103,0,百位,129,十位,9,个位,1,是
5104,0,百位,130,十位,10,个位,2,是
5105,0,百位,131,十位,11,个位,3,是
5106,0,百位,132,十位,12,个位,4,是
5107,0,百位,133,十位,13,个位,0,否
5108,0,百位,134,十位,14,个位,1,是
5109,0,百位,135,十位,15,个位,2,是
5110,0,百位,136,十位,16,个位,0,否
5112,0,百位,137,十位,17,个位,1,是
5114,0,百位,138,十位,18,个位,2,是
5115,0,百位,139,十位,19,个位,3,是
5116,0,百位,140,十位,20,个位,4,是
5117,0,百位,141,十位,21,个位,5,是
5118,0,百位,142,十位,22,个位,6,是
