期号,数字,触发极冷位置,触发位置遗漏期数,其他位置1,位置1遗漏期数,其他位置2,位置2遗漏期数
5019,0,百位,56,十位,5,个位,10
5020,0,百位,57,十位,6,个位,11
5022,0,百位,58,十位,7,个位,12
5024,0,百位,59,十位,8,个位,13
5025,0,百位,60,十位,9,个位,14
5026,0,百位,61,十位,10,个位,15
5028,0,百位,62,十位,11,个位,16
5029,0,百位,63,十位,12,个位,17
5030,0,百位,64,十位,13,个位,18
5031,0,百位,65,十位,14,个位,19
5032,0,百位,66,十位,0,个位,20
5033,0,百位,67,十位,1,个位,21
5034,0,百位,68,十位,2,个位,0
5035,0,百位,69,十位,3,个位,1
5036,0,百位,70,十位,4,个位,0
5037,0,百位,71,十位,5,个位,1
5038,0,百位,72,十位,0,个位,2
5041,0,百位,73,十位,1,个位,3
5042,0,百位,74,十位,2,个位,4
5043,0,百位,75,十位,3,个位,5
5044,0,百位,76,十位,4,个位,6
5045,0,百位,77,十位,5,个位,7
5046,0,百位,78,十位,0,个位,0
5047,0,百位,79,十位,1,个位,1
5048,0,百位,80,十位,2,个位,2
5049,0,百位,81,十位,3,个位,3
5050,0,百位,82,十位,4,个位,0
5051,0,百位,83,十位,0,个位,1
5052,0,百位,84,十位,1,个位,2
5053,0,百位,85,十位,0,个位,3
5054,0,百位,86,十位,1,个位,4
5056,0,百位,87,十位,2,个位,5
5057,0,百位,88,十位,0,个位,0
5058,0,百位,89,十位,1,个位,1
5059,0,百位,90,十位,2,个位,2
5060,0,百位,91,十位,3,个位,3
5061,0,百位,92,十位,4,个位,0
5062,0,百位,93,十位,5,个位,1
5063,0,百位,94,十位,6,个位,2
5064,0,百位,95,十位,7,个位,3
5065,0,百位,96,十位,8,个位,4
5066,0,百位,97,十位,9,个位,5
5067,0,百位,98,十位,10,个位,6
5068,0,百位,99,十位,11,个位,7
5069,0,百位,100,十位,0,个位,8
5070,0,百位,101,十位,1,个位,9
5071,0,百位,102,十位,2,个位,10
5072,0,百位,103,十位,3,个位,11
5073,0,百位,104,十位,4,个位,12
5075,0,百位,105,十位,5,个位,13
5076,0,百位,106,十位,0,个位,0
5077,0,百位,107,十位,1,个位,1
5078,0,百位,108,十位,2,个位,2
5079,0,百位,109,十位,3,个位,3
5080,0,百位,110,十位,4,个位,4
5081,0,百位,111,十位,5,个位,5
5082,0,百位,112,十位,6,个位,0
5083,0,百位,113,十位,7,个位,1
5084,0,百位,114,十位,0,个位,2
5085,0,百位,115,十位,1,个位,3
5086,0,百位,116,十位,2,个位,4
5087,0,百位,117,十位,3,个位,5
5088,0,百位,118,十位,4,个位,6
5091,0,百位,119,十位,5,个位,7
5092,0,百位,120,十位,0,个位,8
5093,0,百位,121,十位,1,个位,9
5094,0,百位,122,十位,2,个位,10
5096,0,百位,123,十位,3,个位,11
5098,0,百位,124,十位,4,个位,12
5099,0,百位,125,十位,5,个位,0
5100,0,百位,126,十位,6,个位,1
5101,0,百位,127,十位,7,个位,2
5102,0,百位,128,十位,8,个位,0
5103,0,百位,129,十位,9,个位,1
5104,0,百位,130,十位,10,个位,2
5105,0,百位,131,十位,11,个位,3
5106,0,百位,132,十位,12,个位,4
5107,0,百位,133,十位,13,个位,0
5108,0,百位,134,十位,14,个位,1
5109,0,百位,135,十位,15,个位,2
5110,0,百位,136,十位,16,个位,0
5112,0,百位,137,十位,17,个位,1
5114,0,百位,138,十位,18,个位,2
5115,0,百位,139,十位,19,个位,3
5116,0,百位,140,十位,20,个位,4
5117,0,百位,141,十位,21,个位,5
5118,0,百位,142,十位,22,个位,6
5119,0,百位,143,十位,23,个位,7
5120,0,百位,144,十位,24,个位,8
5121,0,百位,145,十位,25,个位,9
5122,0,百位,146,十位,26,个位,10
