二码,历史最大遗漏值,当前遗漏值,超过当前遗漏次数,超过最大遗漏次数,上次较大遗漏期数和值,出现次数,遗漏序列
67,174,54,24,0,21152至21255(103期),387,"[47, 10, 32, 13, 35, 55, 3, 1, 1, 3, 7, 32, 16, 33, 14, 7, 14, 2, 3, 8, 2, 18, 5, 2, 1, 26, 14, 1, 3, 4, 21, 3, 15, 1, 63, 7, 4, 10, 50, 6, 92, 9, 8, 13, 23, 11, 13, 27, 18, 1, 11, 2, 3, 27, 3, 9, 15, 9, 12, 15, 47, 51, 20, 39, 35, 1, 18, 4, 4, 10, 13, 23, 5, 8, 9, 23, 5, 11, 31, 9, 13, 26, 8, 1, 5, 3, 22, 67, 20, 13, 21, 11, 6, 43, 23, 22, 14, 14, 4, 32, 24, 27, 22, 29, 28, 4, 46, 2, 27, 23, 4, 1, 39, 6, 8, 4, 8, 14, 18, 14, 10, 15, 12, 5, 8, 6, 4, 5, 9, 34, 2, 3, 21, 11, 8, 56, 33, 11, 3, 4, 6, 5, 18, 6, 9, 7, 1, 17, 86, 34, 22, 11, 6, 27, 3, 16, 43, 5, 10, 27, 22, 18, 13, 18, 14, 48, 2, 3, 3, 62, 13, 6, 43, 76, 3, 14, 5, 3, 31, 11, 30, 12, 46, 20, 21, 25, 35, 2, 23, 174, 12, 35, 80, 4, 17, 4, 12, 3, 13, 12, 9, 3, 38, 56, 29, 30, 5, 45, 2, 3, 13, 2, 1, 9, 12, 7, 35, 10, 1, 11, 3, 57, 29, 3, 15, 4, 41, 43, 5, 40, 27, 23, 18, 40, 1, 8, 20, 9, 12, 46, 10, 21, 57, 8, 1, 4, 10, 65, 5, 7, 31, 18, 36, 23, 31, 3, 43, 3, 174, 5, 41, 2, 16, 15, 5, 69, 14, 1, 3, 71, 50, 16, 6, 2, 45, 10, 34, 9, 38, 22, 1, 9, 4, 11, 15, 30, 15, 7, 19, 6, 9, 59, 49, 19, 38, 4, 66, 83, 6, 29, 103, 12, 3, 18, 11, 6, 1, 2, 10, 1, 35, 3, 27, 26, 5, 30, 25, 6, 31, 6, 14, 22, 6, 7, 33, 21, 33, 8, 2, 7, 14, 11, 12, 52, 3, 5, 67, 23, 36, 49, 85, 9, 1, 11, 10, 19, 16, 13, 8, 13, 13, 10, 17, 5, 8, 22, 3, 5, 40, 25, 31, 5, 13, 24, 5, 11, 14, 30, 60, 11, 19]"
28,174,2,339,0,13333至14089(114期),399,"[37, 4, 7, 19, 9, 38, 33, 1, 21, 83, 20, 2, 30, 17, 18, 5, 80, 26, 8, 14, 5, 11, 14, 73, 3, 35, 6, 11, 5, 24, 16, 79, 22, 2, 2, 5, 20, 52, 15, 23, 18, 34, 8, 7, 19, 27, 2, 49, 11, 3, 21, 19, 20, 2, 48, 7, 18, 11, 7, 9, 7, 4, 30, 31, 6, 69, 20, 11, 14, 20, 28, 3, 1, 20, 37, 46, 24, 8, 19, 52, 23, 5, 11, 5, 5, 9, 29, 33, 37, 1, 15, 15, 9, 16, 18, 1, 20, 8, 27, 5, 25, 18, 21, 2, 38, 17, 23, 18, 6, 8, 19, 66, 20, 4, 13, 2, 17, 11, 33, 5, 20, 9, 54, 29, 45, 5, 6, 8, 19, 10, 6, 1, 19, 6, 25, 51, 56, 22, 15, 28, 30, 8, 4, 17, 19, 2, 11, 10, 14, 1, 10, 27, 11, 3, 35, 18, 8, 29, 7, 1, 10, 18, 38, 3, 32, 8, 1, 11, 26, 2, 29, 13, 1, 1, 5, 114, 9, 12, 3, 6, 13, 23, 19, 16, 2, 35, 12, 16, 13, 17, 67, 13, 9, 39, 8, 18, 28, 22, 18, 8, 25, 1, 38, 15, 4, 15, 73, 2, 6, 9, 22, 5, 8, 27, 4, 1, 2, 51, 35, 23, 2, 5, 19, 3, 18, 7, 5, 21, 25, 91, 79, 25, 60, 9, 1, 10, 10, 28, 8, 3, 9, 38, 14, 11, 14, 7, 20, 3, 24, 15, 26, 28, 27, 21, 12, 5, 12, 14, 26, 4, 5, 24, 27, 2, 18, 10, 5, 7, 14, 30, 1, 29, 54, 7, 17, 22, 35, 15, 12, 38, 59, 12, 3, 2, 12, 2, 174, 14, 12, 38, 14, 4, 3, 7, 1, 46, 1, 52, 25, 5, 53, 20, 12, 35, 12, 28, 38, 20, 3, 6, 36, 14, 12, 4, 8, 12, 2, 6, 13, 30, 4, 5, 50, 15, 43, 3, 3, 12, 88, 6, 10, 8, 23, 6, 2, 6, 10, 3, 20, 39, 3, 5, 4, 25, 16, 3, 3, 44, 24, 2, 62, 9, 23, 52, 15, 3, 60, 33, 22, 11, 2, 69, 2, 7, 10, 10, 10, 24, 12, 12, 17, 13, 14, 14, 24, 2, 108]"
16,147,23,109,0,17122至17262(140期),392,"[24, 27, 1, 18, 1, 13, 18, 14, 10, 1, 8, 4, 1, 8, 7, 12, 29, 37, 4, 4, 41, 34, 40, 27, 10, 3, 1, 37, 19, 3, 17, 8, 10, 6, 62, 3, 29, 3, 3, 1, 10, 28, 27, 11, 9, 8, 14, 8, 3, 2, 11, 8, 17, 25, 29, 7, 9, 64, 1, 17, 5, 23, 34, 10, 20, 32, 9, 20, 26, 13, 21, 48, 13, 2, 4, 23, 1, 20, 12, 8, 27, 30, 9, 35, 19, 7, 9, 9, 7, 27, 25, 16, 27, 5, 17, 17, 3, 28, 18, 6, 34, 4, 11, 4, 1, 22, 97, 3, 15, 34, 1, 23, 18, 45, 3, 10, 65, 17, 42, 12, 9, 12, 6, 19, 1, 5, 3, 12, 133, 12, 24, 19, 3, 43, 3, 18, 18, 23, 47, 13, 14, 6, 4, 12, 39, 16, 15, 18, 8, 15, 4, 40, 46, 6, 29, 10, 49, 30, 17, 63, 1, 22, 75, 26, 21, 11, 4, 1, 17, 5, 37, 44, 2, 11, 6, 59, 56, 12, 9, 92, 15, 11, 64, 33, 14, 13, 3, 16, 5, 36, 11, 16, 7, 6, 6, 55, 3, 45, 5, 27, 2, 15, 39, 6, 38, 4, 1, 10, 51, 4, 5, 10, 6, 2, 4, 5, 7, 8, 8, 2, 13, 54, 5, 37, 15, 23, 25, 18, 68, 8, 23, 13, 34, 16, 8, 17, 6, 13, 12, 5, 3, 140, 8, 1, 2, 5, 8, 18, 27, 14, 34, 13, 1, 31, 23, 27, 1, 1, 20, 31, 4, 13, 1, 2, 54, 2, 16, 2, 5, 63, 1, 5, 5, 3, 82, 11, 5, 2, 67, 26, 24, 53, 2, 3, 27, 5, 11, 11, 10, 4, 31, 36, 59, 4, 16, 14, 28, 5, 16, 47, 25, 9, 2, 31, 19, 50, 1, 35, 10, 5, 39, 17, 4, 2, 28, 15, 33, 24, 4, 17, 11, 19, 4, 7, 7, 8, 16, 73, 63, 64, 44, 27, 4, 10, 4, 5, 91, 13, 14, 8, 3, 147, 3, 2, 15, 12, 10, 65, 2, 1, 35, 13, 10, 41, 24, 51, 26, 13, 28, 28, 15, 4, 2, 22, 4, 12, 4, 1, 21, 4, 54, 2, 48, 13]"
59,147,6,279,0,22090至22219(129期),437,"[13, 6, 11, 39, 2, 10, 9, 10, 13, 15, 2, 16, 1, 14, 23, 12, 9, 25, 15, 22, 8, 25, 70, 10, 9, 15, 51, 19, 9, 37, 1, 3, 17, 2, 6, 59, 1, 9, 18, 19, 5, 29, 45, 32, 21, 29, 19, 5, 16, 6, 6, 21, 2, 1, 25, 6, 40, 3, 12, 7, 3, 13, 34, 12, 2, 61, 8, 18, 4, 16, 11, 10, 47, 39, 9, 2, 9, 4, 5, 5, 11, 5, 37, 21, 3, 14, 47, 8, 19, 13, 7, 18, 58, 62, 9, 51, 5, 5, 9, 1, 17, 9, 11, 18, 3, 10, 18, 10, 1, 8, 3, 1, 33, 44, 3, 40, 11, 9, 6, 8, 9, 31, 10, 14, 10, 1, 24, 38, 3, 2, 22, 9, 8, 9, 14, 10, 17, 2, 29, 36, 37, 5, 11, 2, 4, 10, 121, 9, 26, 6, 32, 14, 4, 1, 1, 13, 9, 10, 24, 59, 15, 4, 59, 5, 8, 6, 1, 4, 27, 15, 37, 13, 26, 9, 21, 2, 17, 2, 14, 1, 3, 6, 12, 15, 6, 32, 30, 13, 90, 24, 5, 6, 6, 16, 7, 15, 7, 11, 26, 45, 13, 2, 10, 20, 2, 5, 4, 3, 5, 15, 52, 15, 2, 5, 13, 10, 20, 9, 68, 8, 13, 5, 27, 5, 23, 6, 1, 6, 36, 29, 54, 4, 42, 66, 67, 12, 8, 54, 3, 13, 2, 16, 3, 15, 5, 4, 11, 39, 9, 4, 22, 14, 4, 12, 3, 14, 14, 2, 46, 6, 20, 36, 12, 30, 1, 51, 147, 9, 10, 48, 9, 11, 39, 2, 4, 5, 27, 50, 13, 15, 33, 23, 54, 19, 13, 19, 5, 21, 27, 6, 14, 2, 8, 5, 17, 20, 4, 34, 5, 6, 33, 25, 46, 32, 28, 6, 4, 2, 17, 19, 9, 10, 5, 5, 4, 25, 14, 57, 3, 1, 20, 3, 7, 9, 22, 2, 22, 8, 2, 15, 16, 3, 10, 77, 18, 26, 3, 2, 4, 12, 14, 3, 109, 34, 30, 40, 34, 13, 40, 4, 15, 3, 129, 16, 5, 3, 50, 3, 24, 7, 7, 4, 9, 1, 7, 2, 8, 1, 13, 5, 10, 8, 26, 48, 5, 1, 18, 6, 19, 3, 7, 12, 7, 4, 9, 8, 1, 4, 81, 2, 47, 3, 10, 54, 25, 50, 7, 56, 4, 44, 13, 2, 11, 11, 2, 18, 6, 8, 20, 10, 21, 2, 6, 23, 25]"
25,146,6,275,0,22025至22143(118期),395,"[28, 7, 77, 8, 40, 14, 12, 44, 32, 20, 24, 4, 29, 42, 17, 4, 5, 72, 18, 6, 86, 3, 6, 24, 19, 37, 64, 25, 8, 2, 7, 37, 24, 55, 46, 14, 4, 1, 21, 5, 57, 20, 33, 15, 18, 3, 26, 5, 2, 23, 1, 41, 61, 9, 4, 2, 52, 12, 5, 10, 20, 2, 28, 36, 3, 59, 18, 9, 2, 8, 31, 5, 47, 13, 6, 20, 24, 3, 5, 17, 6, 41, 146, 21, 1, 20, 21, 2, 4, 8, 16, 1, 51, 17, 13, 43, 14, 16, 9, 7, 12, 10, 11, 13, 6, 13, 15, 7, 47, 21, 8, 16, 22, 24, 37, 4, 14, 9, 36, 21, 13, 6, 12, 71, 7, 28, 24, 37, 25, 31, 17, 31, 8, 48, 30, 7, 2, 2, 19, 9, 5, 4, 32, 6, 37, 14, 11, 6, 7, 48, 12, 6, 47, 18, 19, 16, 4, 13, 13, 10, 7, 22, 15, 20, 7, 10, 1, 19, 23, 14, 27, 12, 4, 14, 14, 2, 47, 85, 15, 15, 10, 1, 2, 1, 1, 3, 15, 20, 23, 8, 27, 14, 6, 115, 32, 6, 29, 8, 10, 11, 54, 4, 22, 7, 33, 6, 3, 33, 53, 5, 1, 6, 12, 1, 3, 39, 111, 16, 19, 12, 32, 3, 3, 17, 25, 28, 32, 22, 9, 74, 7, 1, 13, 20, 24, 37, 6, 18, 26, 7, 1, 4, 20, 36, 21, 19, 18, 1, 4, 5, 29, 62, 34, 10, 68, 2, 30, 8, 10, 11, 8, 85, 14, 7, 4, 5, 9, 14, 13, 34, 10, 2, 11, 8, 2, 8, 5, 16, 5, 37, 11, 1, 45, 6, 6, 1, 17, 18, 44, 2, 1, 4, 55, 51, 18, 27, 19, 62, 94, 25, 4, 23, 7, 118, 14, 18, 6, 7, 5, 66, 25, 38, 42, 9, 21, 9, 22, 9, 3, 26, 5, 10, 19, 4, 14, 19, 22, 6, 23, 25, 22, 11, 8, 2, 18, 1, 59, 6, 18, 14, 40, 5, 7, 24, 12, 22, 8, 28, 9, 7, 12, 27, 5, 4, 7, 10, 7, 11, 22, 3, 5, 16, 9, 14, 8, 37, 14, 12, 7, 11, 11]"
03,144,22,123,0,21252至22021(120期),405,"[6, 4, 65, 16, 15, 32, 40, 36, 9, 12, 22, 21, 2, 3, 29, 4, 15, 34, 25, 58, 4, 21, 5, 7, 17, 4, 1, 5, 16, 12, 13, 7, 21, 68, 27, 25, 5, 12, 34, 1, 25, 3, 14, 56, 42, 33, 36, 26, 24, 5, 6, 21, 5, 17, 3, 12, 3, 27, 5, 31, 11, 55, 1, 44, 29, 6, 6, 16, 46, 30, 28, 10, 5, 32, 12, 12, 5, 4, 7, 1, 9, 32, 31, 11, 2, 3, 32, 24, 22, 5, 49, 1, 17, 22, 22, 10, 25, 14, 5, 1, 26, 7, 10, 39, 1, 30, 1, 8, 20, 108, 54, 34, 13, 51, 9, 4, 44, 2, 6, 1, 10, 4, 27, 33, 8, 9, 6, 2, 4, 8, 21, 3, 25, 7, 144, 7, 16, 27, 11, 11, 52, 56, 11, 4, 11, 15, 18, 17, 3, 8, 8, 1, 9, 42, 16, 5, 18, 12, 5, 4, 39, 45, 21, 2, 29, 13, 16, 28, 9, 30, 4, 4, 7, 4, 11, 27, 13, 13, 24, 55, 38, 6, 31, 3, 3, 25, 1, 2, 4, 21, 86, 35, 6, 10, 1, 16, 20, 13, 60, 13, 12, 28, 2, 7, 4, 15, 4, 19, 30, 17, 11, 9, 12, 9, 2, 17, 9, 8, 27, 52, 2, 27, 10, 12, 12, 7, 14, 27, 7, 22, 6, 2, 15, 2, 3, 12, 6, 13, 65, 7, 2, 5, 30, 3, 2, 15, 9, 5, 59, 15, 25, 2, 22, 23, 5, 3, 6, 20, 3, 44, 10, 3, 5, 38, 27, 16, 30, 25, 1, 40, 6, 16, 1, 31, 24, 12, 21, 20, 5, 36, 55, 17, 15, 28, 8, 33, 13, 41, 27, 8, 20, 6, 27, 30, 33, 15, 28, 21, 1, 36, 9, 14, 27, 8, 29, 2, 34, 18, 2, 7, 7, 14, 69, 20, 12, 7, 34, 36, 92, 1, 9, 9, 20, 120, 61, 2, 32, 30, 9, 22, 17, 2, 2, 22, 28, 11, 20, 23, 31, 4, 8, 19, 13, 29, 34, 57, 2, 7, 13, 7, 7, 37, 2, 42, 6, 4, 26, 14, 45, 14, 34, 6, 24, 2, 2, 24, 17, 2, 16, 18, 3, 9, 39, 40, 29, 19, 2, 9, 20, 13, 35, 65, 6]"
06,142,31,71,0,16090至16224(134期),389,"[95, 3, 3, 13, 15, 4, 2, 10, 1, 30, 48, 12, 32, 19, 40, 15, 2, 68, 13, 13, 1, 37, 3, 10, 14, 19, 74, 2, 4, 26, 34, 2, 41, 19, 23, 22, 24, 46, 18, 4, 22, 11, 1, 9, 17, 40, 2, 11, 40, 8, 25, 11, 13, 4, 7, 9, 31, 21, 3, 33, 7, 21, 25, 7, 4, 6, 1, 5, 19, 13, 35, 142, 18, 20, 18, 3, 10, 13, 22, 3, 17, 2, 21, 29, 34, 32, 13, 59, 18, 4, 21, 58, 5, 18, 7, 18, 2, 26, 40, 2, 10, 1, 20, 39, 41, 4, 10, 3, 1, 7, 8, 14, 17, 106, 2, 2, 19, 12, 36, 8, 44, 8, 9, 21, 27, 22, 15, 26, 32, 10, 19, 20, 16, 11, 4, 21, 5, 4, 6, 2, 7, 18, 58, 21, 3, 22, 26, 18, 1, 2, 13, 2, 4, 15, 4, 4, 60, 26, 22, 16, 55, 25, 8, 6, 39, 11, 7, 26, 16, 37, 14, 7, 1, 9, 5, 2, 50, 85, 1, 26, 29, 7, 18, 11, 23, 3, 40, 6, 2, 28, 2, 42, 26, 15, 16, 6, 15, 1, 90, 10, 3, 5, 7, 6, 24, 30, 14, 2, 14, 32, 2, 24, 14, 1, 10, 41, 134, 41, 1, 32, 1, 1, 9, 49, 24, 12, 35, 6, 30, 19, 5, 4, 7, 73, 28, 3, 14, 6, 1, 1, 21, 5, 12, 49, 23, 21, 23, 1, 22, 10, 33, 3, 58, 15, 9, 10, 13, 8, 13, 4, 48, 39, 60, 42, 59, 16, 13, 4, 5, 2, 6, 8, 8, 16, 1, 6, 22, 11, 17, 1, 20, 8, 15, 13, 8, 19, 36, 4, 19, 28, 60, 22, 6, 1, 6, 78, 35, 24, 19, 16, 11, 53, 5, 3, 11, 24, 9, 27, 27, 4, 33, 11, 12, 20, 23, 5, 2, 16, 20, 8, 16, 20, 1, 54, 63, 6, 40, 22, 15, 4, 3, 43, 46, 14, 11, 10, 31, 24, 9, 6, 1, 1, 21, 5, 28, 47, 8, 7, 30, 8, 25, 20, 15, 37, 58, 9, 13, 75, 15, 59, 19, 7, 43, 1, 68, 6, 65]"
05,139,31,77,0,16269至17012(102期),360,"[11, 15, 4, 11, 12, 3, 12, 1, 47, 8, 6, 8, 6, 11, 19, 31, 13, 4, 4, 2, 3, 43, 24, 32, 9, 4, 26, 56, 69, 30, 16, 86, 53, 57, 24, 1, 54, 4, 22, 3, 74, 15, 31, 56, 5, 6, 4, 5, 22, 13, 5, 15, 12, 1, 4, 18, 16, 17, 50, 28, 1, 15, 11, 35, 17, 10, 26, 18, 34, 50, 15, 11, 3, 45, 1, 48, 16, 5, 6, 42, 5, 51, 16, 6, 14, 25, 4, 1, 1, 28, 21, 7, 1, 3, 10, 8, 22, 56, 5, 23, 15, 3, 44, 5, 8, 8, 46, 6, 25, 14, 15, 24, 12, 11, 11, 12, 25, 46, 1, 10, 33, 11, 7, 4, 82, 17, 21, 7, 36, 12, 14, 13, 33, 48, 8, 7, 20, 21, 26, 6, 13, 68, 11, 4, 33, 22, 4, 70, 20, 5, 8, 23, 8, 4, 80, 36, 12, 13, 16, 17, 9, 8, 9, 39, 15, 8, 2, 10, 9, 9, 43, 15, 21, 12, 37, 47, 1, 74, 20, 2, 7, 31, 25, 17, 12, 2, 39, 7, 17, 14, 3, 8, 5, 20, 12, 9, 3, 31, 9, 4, 42, 41, 27, 10, 24, 38, 4, 56, 34, 18, 11, 49, 8, 18, 10, 3, 102, 29, 1, 6, 26, 8, 10, 56, 46, 47, 43, 22, 6, 39, 10, 12, 8, 9, 9, 98, 7, 7, 23, 2, 11, 3, 3, 10, 26, 61, 19, 53, 1, 13, 66, 28, 14, 15, 55, 50, 4, 61, 50, 26, 4, 38, 24, 66, 22, 6, 17, 20, 3, 9, 7, 29, 8, 4, 4, 7, 26, 33, 17, 11, 6, 10, 37, 48, 25, 5, 61, 26, 5, 17, 139, 1, 9, 7, 20, 13, 29, 3, 66, 13, 20, 35, 67, 18, 4, 6, 1, 16, 2, 11, 18, 47, 4, 21, 15, 13, 22, 60, 23, 14, 44, 29, 3, 1, 83, 22, 12, 34, 4, 63, 7, 1, 2, 7, 29, 32, 11, 23, 6, 6, 87]"
78,135,1,364,0,13136至13230(94期),412,"[22, 8, 9, 38, 65, 54, 15, 22, 7, 1, 4, 8, 8, 14, 18, 22, 16, 7, 10, 7, 2, 4, 2, 1, 26, 24, 4, 4, 38, 47, 17, 15, 20, 10, 19, 17, 10, 31, 3, 17, 47, 16, 16, 20, 1, 1, 2, 23, 1, 22, 3, 2, 31, 9, 3, 22, 50, 66, 2, 8, 41, 13, 3, 11, 37, 10, 37, 27, 26, 11, 5, 34, 27, 9, 33, 15, 9, 3, 3, 20, 28, 58, 4, 8, 37, 78, 11, 5, 1, 4, 15, 37, 10, 12, 5, 2, 14, 4, 7, 6, 18, 12, 33, 28, 10, 26, 9, 8, 2, 5, 30, 14, 25, 59, 11, 2, 19, 2, 33, 6, 2, 49, 2, 3, 8, 7, 34, 6, 6, 15, 1, 22, 7, 7, 19, 5, 28, 1, 5, 10, 33, 5, 11, 4, 3, 66, 25, 8, 39, 2, 15, 1, 17, 5, 34, 11, 81, 7, 1, 6, 58, 32, 49, 22, 17, 10, 18, 81, 45, 10, 7, 94, 6, 16, 3, 28, 24, 12, 56, 26, 27, 39, 26, 12, 12, 22, 13, 30, 48, 3, 61, 2, 12, 10, 10, 1, 18, 2, 79, 4, 16, 6, 61, 10, 6, 4, 7, 29, 27, 13, 30, 12, 8, 30, 24, 13, 57, 17, 14, 3, 10, 12, 15, 40, 44, 1, 39, 24, 12, 3, 18, 4, 33, 54, 5, 36, 3, 2, 9, 2, 19, 5, 7, 13, 9, 1, 3, 7, 22, 64, 3, 19, 12, 15, 3, 9, 31, 27, 1, 9, 10, 70, 10, 63, 50, 2, 4, 1, 12, 28, 4, 12, 12, 5, 1, 2, 20, 21, 1, 22, 36, 1, 12, 19, 6, 2, 2, 18, 10, 35, 30, 7, 36, 15, 64, 76, 1, 8, 47, 135, 66, 2, 8, 21, 9, 2, 32, 49, 12, 4, 5, 13, 16, 2, 3, 29, 8, 29, 25, 7, 3, 33, 3, 22, 34, 27, 5, 40, 23, 10, 14, 7, 21, 14, 1, 9, 7, 4, 53, 7, 29, 7, 2, 19, 41, 5, 23, 42, 64, 7, 12, 9, 75, 8, 11, 28, 13, 9, 13, 2, 39, 27, 6, 12, 76, 13, 10, 13, 5, 10, 7, 4, 31, 16, 17, 13, 1, 24, 4, 1, 27, 10, 26, 5, 12, 52]"
26,134,2,344,0,12038至12158(120期),400,"[5, 1, 17, 2, 1, 40, 36, 5, 9, 32, 4, 7, 10, 20, 8, 18, 1, 1, 2, 17, 1, 3, 7, 29, 15, 1, 1, 55, 3, 13, 17, 24, 6, 15, 17, 5, 1, 1, 10, 2, 21, 17, 15, 12, 37, 18, 1, 26, 7, 10, 2, 55, 30, 14, 24, 13, 24, 20, 36, 6, 21, 73, 46, 38, 46, 14, 33, 10, 13, 1, 4, 5, 18, 3, 4, 24, 22, 33, 5, 2, 24, 1, 16, 20, 36, 33, 12, 19, 8, 37, 7, 11, 18, 18, 5, 4, 6, 19, 20, 29, 11, 7, 10, 13, 20, 17, 29, 46, 17, 4, 15, 4, 37, 12, 5, 57, 76, 31, 81, 5, 3, 4, 13, 69, 20, 1, 10, 4, 9, 28, 14, 17, 40, 1, 4, 12, 38, 19, 66, 15, 6, 8, 15, 8, 21, 11, 20, 5, 120, 22, 18, 9, 6, 8, 24, 2, 49, 6, 4, 19, 6, 1, 3, 26, 2, 6, 1, 21, 27, 1, 4, 11, 8, 21, 43, 4, 23, 28, 48, 14, 3, 8, 26, 17, 24, 7, 39, 47, 9, 16, 4, 3, 8, 1, 13, 12, 6, 9, 9, 72, 21, 26, 2, 15, 14, 12, 6, 66, 3, 16, 7, 6, 2, 32, 50, 8, 7, 56, 4, 44, 19, 6, 9, 30, 14, 13, 3, 31, 7, 13, 36, 19, 2, 9, 38, 116, 17, 50, 33, 27, 1, 18, 22, 27, 12, 31, 45, 33, 15, 12, 8, 4, 11, 1, 2, 62, 3, 49, 4, 1, 32, 15, 3, 23, 35, 32, 3, 8, 61, 3, 6, 44, 10, 21, 134, 14, 19, 6, 15, 33, 3, 13, 21, 3, 7, 5, 31, 18, 19, 16, 8, 24, 17, 2, 8, 7, 6, 13, 13, 6, 26, 16, 9, 33, 35, 13, 29, 25, 23, 25, 53, 50, 5, 8, 3, 5, 6, 54, 9, 4, 6, 4, 10, 5, 22, 15, 30, 2, 3, 1, 10, 21, 100, 106, 30, 61, 23, 57, 11, 15, 14, 2, 11, 19, 4, 6, 13, 5, 86, 32, 14, 67, 13, 50, 12, 7, 15, 11, 17, 14, 26, 20, 4, 16, 29, 2, 10, 23, 56, 10, 11, 13, 2, 9, 54, 7, 13, 7, 17, 5, 16, 15]"
